_ObjectName,_SourceFile,_Script,_ScriptGUID,_ScriptFileID,MonoBehaviour.baked,MonoBehaviour.bakedShadows,MonoBehaviour.blendMode,MonoBehaviour.color,MonoBehaviour.colorBleedMode,MonoBehaviour.cutout,MonoBehaviour.disableFitCompensation,MonoBehaviour.ignoreCasterColor,MonoBehaviour.ignoreExternalActive,MonoBehaviour.inset,MonoBehaviour.m_CorrespondingSourceObject,MonoBehaviour.m_CorrespondingSourceObject_fileID,MonoBehaviour.m_EditorHideFlags,MonoBehaviour.m_Enabled,MonoBehaviour.m_GameObject,MonoBehaviour.m_GameObject_fileID,MonoBehaviour.m_ObjectHideFlags,MonoBehaviour.m_PrefabAsset,MonoBehaviour.m_PrefabAsset_fileID,MonoBehaviour.m_PrefabInstance,MonoBehaviour.m_PrefabInstance_fileID,MonoBehaviour.m_Script,MonoBehaviour.m_Script_fileID,MonoBehaviour.m_Script_guid,MonoBehaviour.m_Script_path,MonoBehaviour.modifiedFromInspector,MonoBehaviour.offset,MonoBehaviour.offsetAngle,MonoBehaviour.offsetDistance,MonoBehaviour.shadowAsSibling,MonoBehaviour.size,MonoBehaviour.spread,MonoBehaviour.useCasterAlpha,MonoBehaviour.useGlobalAngle
InventoryEntry Trading Selling,Assets/GameObject/InventoryEntry Trading Selling.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 1, g: 1, b: 1, a: 0.6}",2,0,0,0,0,0,{fileID: 0},0,0,1,{fileID: 1368064696457001},1368064696457001,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,2,0,1,0
InventoryEntry Trading Selling,Assets/GameObject/InventoryEntry Trading Selling.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 0, g: 0, b: 0, a: 0.6}",2,0,0,0,0,0,{fileID: 0},0,0,1,{fileID: 1849716402381521},1849716402381521,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 1.7881396E-07, y: -3}",90,3,0,6,0,1,0
InventoryEntry Trading Selling,Assets/GameObject/InventoryEntry Trading Selling.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 1, g: 1, b: 1, a: 0.6}",2,0,0,0,0,0,{fileID: 0},0,0,1,{fileID: 1830072514021810},1830072514021810,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,2,0,1,0
SlotIndicator,Assets/GameObject/SlotIndicator.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 1, g: 1, b: 1, a: 1}",2,0,0,1,0,0,{fileID: 0},0,0,1,{fileID: 1849877197261496},1849877197261496,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,1,0,1,0
ADSAimMarker_Bow,Assets/GameObject/ADSAimMarker_Bow.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 0, g: 0, b: 0, a: 1}",2,0,0,0,1,0,{fileID: 0},0,0,1,{fileID: 1783390395781035},1783390395781035,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,5,0,1,0
ADSAimMarker_Bow,Assets/GameObject/ADSAimMarker_Bow.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 0, g: 0, b: 0, a: 0.6}",2,0,0,0,1,0,{fileID: 0},0,0,1,{fileID: 1451105237082198},1451105237082198,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,1,"{x: 0, y: -0}",90,0,0,9,0,1,0
ADSAimMarker_Bow,Assets/GameObject/ADSAimMarker_Bow.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 0, g: 0, b: 0, a: 0.6}",2,0,0,0,1,0,{fileID: 0},0,0,1,{fileID: 1954346288995038},1954346288995038,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,9,0,1,0
ADSAimMarker_Bow,Assets/GameObject/ADSAimMarker_Bow.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 0, g: 0, b: 0, a: 1}",2,0,0,0,1,0,{fileID: 0},0,0,1,{fileID: 1897570457496931},1897570457496931,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,9.3,0.45,1,0
ADSAimMarker_Bow,Assets/GameObject/ADSAimMarker_Bow.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 0, g: 0, b: 0, a: 1}",2,0,0,0,1,0,{fileID: 0},0,0,1,{fileID: 1043951138270772},1043951138270772,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,9.3,0.45,1,0
ADSAimMarker_Holo,Assets/GameObject/ADSAimMarker_Holo.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 1, g: 0.24010515, b: 0.18431371, a: 1}",2,0,0,0,1,0,{fileID: 0},0,0,1,{fileID: 1893059169386622},1893059169386622,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,5,0,1,0
ADSAimMarker_Holo,Assets/GameObject/ADSAimMarker_Holo.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 1, g: 0.24010515, b: 0.18431371, a: 1}",2,0,0,0,1,0,{fileID: 0},0,0,1,{fileID: 1136599289839582},1136599289839582,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,5,0,1,0
ADSAimMarker_Holo,Assets/GameObject/ADSAimMarker_Holo.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 0, g: 0, b: 0, a: 0.6}",2,0,0,0,1,0,{fileID: 0},0,0,1,{fileID: 1268918270795356},1268918270795356,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,9,0,1,0
ADSAimMarker_Holo,Assets/GameObject/ADSAimMarker_Holo.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 0, g: 0, b: 0, a: 0.6}",2,0,0,0,1,0,{fileID: 0},0,0,1,{fileID: 1430780069217391},1430780069217391,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,9,0,1,0
ADSAimMarker_Holo,Assets/GameObject/ADSAimMarker_Holo.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 0, g: 0, b: 0, a: 0.6}",2,0,0,0,1,0,{fileID: 0},0,0,1,{fileID: 1993877037021524},1993877037021524,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,9,0,1,0
ADSAimMarker_Holo,Assets/GameObject/ADSAimMarker_Holo.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 0, g: 0, b: 0, a: 0.6}",2,0,0,0,1,0,{fileID: 0},0,0,1,{fileID: 1410256246291785},1410256246291785,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,9,0,1,0
ADSAimMarker_Star,Assets/GameObject/ADSAimMarker_Star.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 0, g: 0, b: 0, a: 1}",2,0,0,0,1,0,{fileID: 0},0,0,1,{fileID: 1938643433338134},1938643433338134,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,9,0,1,0
ADSAimMarker_Star,Assets/GameObject/ADSAimMarker_Star.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 0, g: 0, b: 0, a: 1}",2,0,0,0,1,0,{fileID: 0},0,0,1,{fileID: 1471461239610021},1471461239610021,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,9.3,0.45,1,0
ADSAimMarker_Star,Assets/GameObject/ADSAimMarker_Star.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 0, g: 0, b: 0, a: 1}",2,0,0,0,1,0,{fileID: 0},0,0,1,{fileID: 1491627397937044},1491627397937044,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,9.3,0.45,1,0
ADSAimMarker_Star,Assets/GameObject/ADSAimMarker_Star.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 0, g: 0, b: 0, a: 1}",2,0,0,0,1,0,{fileID: 0},0,0,1,{fileID: 1873473105415899},1873473105415899,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,9.3,0.45,1,0
ADSAimMarker_Star,Assets/GameObject/ADSAimMarker_Star.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 0, g: 0, b: 0, a: 1}",2,0,0,0,1,0,{fileID: 0},0,0,1,{fileID: 1863488914574825},1863488914574825,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,9.3,0.45,1,0
ADSAimMarker_ShotGun,Assets/GameObject/ADSAimMarker_ShotGun.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 0, g: 0, b: 0, a: 1}",2,0,0,0,1,0,{fileID: 0},0,0,1,{fileID: 1446620308318869},1446620308318869,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,5,0,1,0
ADSAimMarker_ShotGun,Assets/GameObject/ADSAimMarker_ShotGun.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 0, g: 0, b: 0, a: 0.6}",2,0,0,0,1,0,{fileID: 0},0,0,1,{fileID: 1469365647212730},1469365647212730,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,9,0,1,0
ADSAimMarker_ShotGun,Assets/GameObject/ADSAimMarker_ShotGun.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 0, g: 0, b: 0, a: 0.6}",2,0,0,0,1,0,{fileID: 0},0,0,1,{fileID: 1044538911674688},1044538911674688,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,9,0,1,0
ADSAimMarker_ShotGun,Assets/GameObject/ADSAimMarker_ShotGun.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 0, g: 0, b: 0, a: 0.6}",2,0,0,0,1,0,{fileID: 0},0,0,1,{fileID: 1082480699494742},1082480699494742,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,9,0,1,0
ADSAimMarker_ShotGun,Assets/GameObject/ADSAimMarker_ShotGun.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 0, g: 0, b: 0, a: 0.6}",2,0,0,0,1,0,{fileID: 0},0,0,1,{fileID: 1210448189306727},1210448189306727,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,9,0,1,0
ItemDisplay,Assets/GameObject/ItemDisplay.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 0, g: 0, b: 0, a: 0.6}",2,0,0,0,0,0,{fileID: 0},0,0,0,{fileID: 1533795247126750},1533795247126750,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 1.4142134, y: -1.4142137}",45,2,0,8,0,1,0
ItemDisplay,Assets/GameObject/ItemDisplay.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 0, g: 0, b: 0, a: 0.72156864}",2,0,0,1,1,0,{fileID: 0},0,0,1,{fileID: 1610630344683357},1610630344683357,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 5.9195232, y: -5.38138}",42.273666,8,0,3,0.5,1,0
ItemDisplay,Assets/GameObject/ItemDisplay.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 1, g: 1, b: 1, a: 1}",2,0,0,1,0,0,{fileID: 0},0,0,0,{fileID: 1100121589366828},1100121589366828,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,1,0,1,0
ItemDisplay,Assets/GameObject/ItemDisplay.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 1, g: 1, b: 1, a: 0.6}",2,0,0,0,0,0,{fileID: 0},0,0,1,{fileID: 1039222149593049},1039222149593049,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,2,0,1,0
ItemDisplay,Assets/GameObject/ItemDisplay.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 1, g: 1, b: 1, a: 0.6}",2,0,0,0,0,0,{fileID: 0},0,0,1,{fileID: 1130140973802651},1130140973802651,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,2,0,1,0
