typeID,prefabName,displayNameKey,category,nameEN,nameZH,descEN,descZH,maxStackCount,stackable,value,quality,displayQuality,weight,order,soundKey,iconGUID,tags,tagKeys,tagsEN,tagsZH,variablesCount,constantsCount,agentsCount,effectsCount,inventory,usageUtilities,slots,itemGraphic,prefab
14,Cola,Item_Cola,Cola,Cola,可乐,A sugary cola for that true refreshment.,有糖的可乐才有灵魂。,1,False,1995,4,0,0.36,41,,bfaad7b7f7e658244a9a18a7c7c0d186,['75d52ea080644714ab5c4f48a6ea57c8'; '97d71745ea550894cae5325fdb096171'],['Tag_Food'; 'Tag_Drink'],['Food'; 'Beverages'],['食物'; '饮品'],0,0,0,0,True,True,True,True,Assets/GameObject/Cola.prefab
15,FirstAidKit_L,Item_FirstAidKit_L,FirstAidKit,First Aid Kit (L),大急救箱,Restores a large amount of HP.,可以恢复大量生命值。,1,False,1322,4,0,1.2,4,,bdca8351bb635d5409789a578462aa99,['180b6bde56f739545a8bd22200861535'; 'a1b5f688622a30c4b80bf5c8b5da80cd'],['Tag_Medic'; 'Tag_Healing'],['Medical Supply'; 'Heal'],['医疗用品'; '治疗'],0,0,0,0,True,True,True,True,Assets/GameObject/FirstAidKit_L.prefab
16,FirstAidKit_M,Item_FirstAidKit_M,FirstAidKit,First Aid Kit,急救箱,Restores HP.,可以恢复生命值。,1,False,807,3,0,0.75,3,,ecba760f5edf2f74d939ffdcd8750ee1,['180b6bde56f739545a8bd22200861535'; 'a1b5f688622a30c4b80bf5c8b5da80cd'],['Tag_Medic'; 'Tag_Healing'],['Medical Supply'; 'Heal'],['医疗用品'; '治疗'],0,0,0,0,True,True,True,True,Assets/GameObject/FirstAidKit_M.prefab
17,FirstAidKit_S,Item_FirstAidKit_S,FirstAidKit,First Aid Kit (S),小急救箱,Restores a small amount of HP.,可以恢复少量生命值。,1,False,206,2,0,0.5,2,,fabb311b93435604bbaa431418766198,['180b6bde56f739545a8bd22200861535'; 'a1b5f688622a30c4b80bf5c8b5da80cd'],['Tag_Medic'; 'Tag_Healing'],['Medical Supply'; 'Heal'],['医疗用品'; '治疗'],0,0,0,0,True,True,True,True,Assets/GameObject/FirstAidKit_S.prefab
18,TunaCan_1,Item_TunaCan_1,TunaCan,Canned Tuna in Water,水浸金枪鱼罐头,A can of tuna in water.,水浸金枪鱼罐头。,3,True,172,2,0,0.36,2,,88c716fd185f049439444870e86db3b5,['75d52ea080644714ab5c4f48a6ea57c8'],['Tag_Food'],['Food'],['食物'],0,0,0,0,True,True,True,True,Assets/GameObject/TunaCan_1.prefab
19,TunaCan_2,Item_TunaCan_2,TunaCan,Canned Tuna in Oil,油浸金枪鱼罐头,A can of tuna in oil.,油浸金枪鱼罐头。,3,True,376,3,0,0.36,3,,7d4ef797e70064743be68131063741ef,['75d52ea080644714ab5c4f48a6ea57c8'],['Tag_Food'],['Food'],['食物'],0,0,0,0,True,True,True,True,Assets/GameObject/TunaCan_2.prefab
20,Aspirin,Item_Aspirin,Aspirin,Aspirin,阿司匹林,A small-dose medicine that restores HP and relieves pain.,小剂量药品，回复血量，并提供镇痛效果。,3,True,32,1,0,0.03,1,,947539cd037349442934438ef73c904e,['180b6bde56f739545a8bd22200861535'; 'a1b5f688622a30c4b80bf5c8b5da80cd'],['Tag_Medic'; 'Tag_Healing'],['Medical Supply'; 'Heal'],['医疗用品'; '治疗'],0,0,0,0,True,True,True,True,Assets/GameObject/Aspirin.prefab
21,Bleach,Item_Bleach,Bleach,Bleach,漂白剂,A bottle of bleach.,一壶漂白剂。,1,False,139,1,0,0.6,1,,1fb5fd617d28b584dbab6f798d2df4dd,['8fc6e1852ff836d43a293cf60f077571'],['Tag_Daily'],['Daily Supplies'],['日常用品'],0,0,0,0,True,True,True,True,Assets/GameObject/Bleach.prefab
22,Cigarette,Item_Cigarette,Cigarette,Red-Band Cigarette,红条香烟,A pack of regular cigarettes.,一盒普通的香烟。,3,True,105,2,0,0.03,2,,dba0cf328f9742c40bda9ce971efd96d,['75d52ea080644714ab5c4f48a6ea57c8'],['Tag_Food'],['Food'],['食物'],0,0,0,0,True,True,True,True,Assets/GameObject/Cigarette.prefab
23,Dynamite,Item_Dynamite,Dynamite,Dynamite,管状炸弹,A stick of dynamite.,一颗管状炸弹。,1,False,140,1,0,0.34,1,,7fc2e4904e9554c48a8193e41ee24762,['1ca1930ea86ae5e44971494553d19b37'],['Tag_Explosive'],['Explosives'],['爆炸物'],0,0,0,0,True,True,True,True,Assets/GameObject/Dynamite.prefab
24,DynamiteMultiple,Item_DynamiteMultiple,DynamiteMultiple,Dynamite Cluster,集束管状炸弹,A bundle of dynamite sticks.,一束管状炸弹。,1,False,302,5,0,1.22,5,,32cc3885b6a584544ab575eccbb63a4f,['1ca1930ea86ae5e44971494553d19b37'],['Tag_Explosive'],['Explosives'],['爆炸物'],0,0,0,0,True,True,True,True,Assets/GameObject/DynamiteMultiple.prefab
25,Flashlight,Item_Flashlight,Flashlight,Flashlight,手电,A flashlight.,一只手电筒。,1,False,560,3,0,0.31,3,,43cf1ccd0cbc98546b64e471d7eac413,['d0e0879b966f49c41892d16d441a06a1'],['Tag_Tool'],['Tool'],['工具'],0,0,1,0,True,True,True,True,Assets/GameObject/Flashlight.prefab
26,GasMask_01,Item_GasMask_01,GasMask,Gas Mask,防毒面具,A standard gas mask.,普通的防毒面具。,1,False,535,3,0,0.15,131,,68bce101268f7d848abc78ec85269583,['edb118b0b4f78f3438be208520832b89'; 'df4582ee1d2966f4e9231575c408b410'; 'b3277cd12663d534b8398c9db60edc10'; 'a5d0669b3d2405f4ea731ef3ce15b8fa'],['Tag_FaceMask'; 'Tag_Equipment'; 'Tag_DecorateEquipment'; 'Tag_Repairable'],['Face'; 'Equipment'; 'Decorative Gear'; 'Repairable'],['面部'; '装备'; '装饰性装备'; '可维修'],0,0,1,0,True,True,True,True,Assets/GameObject/GasMask_01.prefab
27,Goggle,Item_Goggle,Goggle,Ski Goggles,滑雪镜,A pair of ski goggles.,滑雪眼镜。,1,False,125,1,0,0.18,111,,a7e98f2ea8da5404ab89dcb624e8946f,['edb118b0b4f78f3438be208520832b89'; 'df4582ee1d2966f4e9231575c408b410'; 'b3277cd12663d534b8398c9db60edc10'; 'a5d0669b3d2405f4ea731ef3ce15b8fa'],['Tag_FaceMask'; 'Tag_Equipment'; 'Tag_DecorateEquipment'; 'Tag_Repairable'],['Face'; 'Equipment'; 'Decorative Gear'; 'Repairable'],['面部'; '装备'; '装饰性装备'; '可维修'],0,0,1,0,True,True,True,True,Assets/GameObject/Goggle.prefab
28,Nail,Item_Nail,Nail,Nail,钉子,A nail.,钉子。,10,True,149,1,0,0.05,1,,e5c85904fdc767c41a86c6df7db2336f,['d0e0879b966f49c41892d16d441a06a1'],['Tag_Tool'],['Tool'],['工具'],0,0,0,0,True,True,True,True,Assets/GameObject/Nail.prefab
29,Vodka,Item_Vodka,Vodka,Vodka,伏特加,Makes you feel good; then leaves you dehydrated.,喝了会开心;然后脱水。,1,False,902,3,0,0.68,31,,c0defb2ed5d32cd47956d07857126ad1,['75d52ea080644714ab5c4f48a6ea57c8'; '97d71745ea550894cae5325fdb096171'],['Tag_Food'; 'Tag_Drink'],['Food'; 'Beverages'],['食物'; '饮品'],0,0,0,0,True,True,True,True,Assets/GameObject/Vodka.prefab
30,WD40,Item_WD40,WD40,MD40,MD40,A can of MD40 rust remover.,一瓶MD40除锈剂。,1,False,216,3,0,0.29,3,,66e15d85da6f9914a9b1952284705f10,['d0e0879b966f49c41892d16d441a06a1'],['Tag_Tool'],['Tool'],['工具'],0,0,0,0,True,True,True,True,Assets/GameObject/WD40.prefab
31,Wrench,Item_Wrench,Wrench,Wrench,扳手,A wrench.,一个扳手。,1,False,257,2,0,0.41,2,,c771959adbd802041b348c3bcf0ae9b7,['d0e0879b966f49c41892d16d441a06a1'; 'f6017bb1526524f419dac91362406baa'; '3eda4209113db454fa6569a24e4c2e91'],['Tag_Tool'; 'Tag_MeleeWeapon'; 'Tag_DontDropOnDeadInSlot'],['Tool'; 'Melee Weapon'; 'Bound Equipment'],['工具'; '近战武器'; '绑定装备'],0,0,1,0,True,True,True,True,Assets/GameObject/Wrench.prefab
32,ArmorLV1,Item_ArmorLV1,ArmorLV1,Lv.1 Body Armor,一级防弹衣,Thinner\ than\ paper;\ it\ can\ only\ defend\ against\ one\ shot\ from\ a\ water\ gun\.,比纸还薄，能挡一发水弹枪。,1,False,285,1,0,2.0,11,,b2b77c7fde0d8ec4ebce7ac80e59ac70,['140e0ffe98d9f294f844300eed527777'; 'df4582ee1d2966f4e9231575c408b410'; 'a5d0669b3d2405f4ea731ef3ce15b8fa'],['Tag_Armor'; 'Tag_Equipment'; 'Tag_Repairable'],['Body'; 'Equipment'; 'Repairable'],['身体'; '装备'; '可维修'],0,0,1,0,True,True,True,True,Assets/GameObject/ArmorLV1_0.prefab
33,ArmorLV2,Item_ArmorLV2,ArmorLV2,Lv.2 Body Armor,二级防弹衣,Looks professional; providing a psychological boost.,看起来很专业，能够提供心理层面的鼓励。,1,False,784,2,0,2.47,21,,736c0aeb73522444ca65f1dd6a802572,['140e0ffe98d9f294f844300eed527777'; 'df4582ee1d2966f4e9231575c408b410'; '94118f515b747844c982baf721457f16'; 'a5d0669b3d2405f4ea731ef3ce15b8fa'],['Tag_Armor'; 'Tag_Equipment'; 'Tag_Western'; 'Tag_Repairable'],['Body'; 'Equipment'; 'Western'; 'Repairable'],['身体'; '装备'; 'Western'; '可维修'],0,0,1,0,True,True,True,True,Assets/GameObject/ArmorLV2.prefab
34,ArmorLV4,Item_ArmorLV4,ArmorLV4,Lv.4 Body Armor,四级防弹衣,Offers real ballistic protection; a reliable choice.,有真正的防弹性能，可靠之选。,1,False,3316,4,0,4.29,41,,cfc057b38292d9041b4163464cf29032,['140e0ffe98d9f294f844300eed527777'; 'df4582ee1d2966f4e9231575c408b410'; '94118f515b747844c982baf721457f16'; 'a5d0669b3d2405f4ea731ef3ce15b8fa'],['Tag_Armor'; 'Tag_Equipment'; 'Tag_Western'; 'Tag_Repairable'],['Body'; 'Equipment'; 'Western'; 'Repairable'],['身体'; '装备'; 'Western'; '可维修'],0,0,1,0,True,True,True,True,Assets/GameObject/ArmorLV4_0.prefab
35,ArmorLV5,Item_ArmorLV5,ArmorLV5,Lv.5 Body Armor,五级防弹衣,Provides ultimate protection; making bullets feel like raindrops.,提供终极的防护，子弹打在身上就像洒洒水。,1,False,5827,5,0,5.88,52,,c3cf82c9ffc97784a8c122325334b5b1,['140e0ffe98d9f294f844300eed527777'; 'df4582ee1d2966f4e9231575c408b410'; '94118f515b747844c982baf721457f16'; 'a5d0669b3d2405f4ea731ef3ce15b8fa'],['Tag_Armor'; 'Tag_Equipment'; 'Tag_Western'; 'Tag_Repairable'],['Body'; 'Equipment'; 'Western'; 'Repairable'],['身体'; '装备'; 'Western'; '可维修'],0,0,1,0,True,True,True,True,Assets/GameObject/ArmorLV5_0.prefab
36,BackpackLV1,Item_BackpackLV1,BackpackLV1,Cosmetic Pouch,装饰包,Just enough space for lipstick and a few cosmetics.,也就能装点口红化妆品啥的。,1,False,87,1,0,0.45,11,,200a6d93c264e994e88c5b3b40353574,['094c8959482c9e444a55decded0a71f8'; 'df4582ee1d2966f4e9231575c408b410'; 'a5d0669b3d2405f4ea731ef3ce15b8fa'],['Tag_Backpack'; 'Tag_Equipment'; 'Tag_Repairable'],['Backpack'; 'Equipment'; 'Repairable'],['背包'; '装备'; '可维修'],0,0,1,0,True,True,True,True,Assets/GameObject/BackpackLV1_0.prefab
37,BackpackLV2,Item_BackpackLV2,BackpackLV2,School Bag,小学背包,Can hold plenty of homework notebooks.,能装很多的作业本。,1,False,338,2,0,1.08,21,,d54d1f7be66b2e44d9eb8f362f4a4e44,['094c8959482c9e444a55decded0a71f8'; 'df4582ee1d2966f4e9231575c408b410'; '94118f515b747844c982baf721457f16'; 'a5d0669b3d2405f4ea731ef3ce15b8fa'],['Tag_Backpack'; 'Tag_Equipment'; 'Tag_Western'; 'Tag_Repairable'],['Backpack'; 'Equipment'; 'Western'; 'Repairable'],['背包'; '装备'; 'Western'; '可维修'],0,0,1,0,True,True,True,True,Assets/GameObject/BackpackLV2.prefab
38,BackpackLV3,Item_BackpackLV3,BackpackLV3,Travel Bag,旅行包,A versatile bag; perfect for travel.,多功能用途背包，旅行首选。,1,False,995,3,0,2.21,31,,e177d4999942b314ca0df90be18c15bb,['094c8959482c9e444a55decded0a71f8'; 'df4582ee1d2966f4e9231575c408b410'; 'a5d0669b3d2405f4ea731ef3ce15b8fa'],['Tag_Backpack'; 'Tag_Equipment'; 'Tag_Repairable'],['Backpack'; 'Equipment'; 'Repairable'],['背包'; '装备'; '可维修'],0,0,1,0,True,True,True,True,Assets/GameObject/BackpackLV3.prefab
39,BackpackLV4,Item_BackpackLV4,BackpackLV4,Survivor's Backpack,生存者背包,A collaboration with KILLER; a must-have for outdoor survival.,杀哥联名，户外生存必备。,1,False,2385,4,0,2.64,42,,f19e2dc268f0d134ba00de09cdb61033,['094c8959482c9e444a55decded0a71f8'; 'df4582ee1d2966f4e9231575c408b410'; 'a5d0669b3d2405f4ea731ef3ce15b8fa'],['Tag_Backpack'; 'Tag_Equipment'; 'Tag_Repairable'],['Backpack'; 'Equipment'; 'Repairable'],['背包'; '装备'; '可维修'],0,0,1,0,True,True,True,True,Assets/GameObject/BackpackLV4_0.prefab
40,BackpackLV5,Item_BackpackLV5,BackpackLV5,Military Backpack MAX,行军背包MAX,Made with the same lining material as Doraemon's pocket; offering extreme capacity.,使用蓝胖子口袋内衬同款材料，非常能装。,1,False,4706,5,0,3.87,51,,9ed613fe132d6ac46950a2bd6c4a8dfc,['094c8959482c9e444a55decded0a71f8'; 'df4582ee1d2966f4e9231575c408b410'; '94118f515b747844c982baf721457f16'; 'a5d0669b3d2405f4ea731ef3ce15b8fa'],['Tag_Backpack'; 'Tag_Equipment'; 'Tag_Western'; 'Tag_Repairable'],['Backpack'; 'Equipment'; 'Western'; 'Repairable'],['背包'; '装备'; 'Western'; '可维修'],0,0,1,0,True,True,True,True,Assets/GameObject/BackpackLV5.prefab
41,HelmatLV1,Item_HelmatLV1,HelmatLV1,Motorcycle Helmet,摩托头盔,Crystal-clear and delicate.,晶莹剔透，吹弹可破。,1,False,97,1,0,0.45,11,,b27943d076c13ed44b6e295e8b3de4da,['4a71e978c50c39b4c88512fce8d91926'; 'df4582ee1d2966f4e9231575c408b410'; 'a5d0669b3d2405f4ea731ef3ce15b8fa'],['Tag_Helmat'; 'Tag_Equipment'; 'Tag_Repairable'],['Head'; 'Equipment'; 'Repairable'],['头部'; '装备'; '可维修'],0,0,1,0,True,True,True,True,Assets/GameObject/HelmatLV1.prefab
42,HelmatLV2,Item_HelmatLV2,HelmatLV2,Steel Helmet,老钢盔,A worn-out helmet passed down from Grandpa; with a hole in it.,没怎么保养的头盔，爷爷传下来的。里面有个洞。,1,False,378,2,0,0.9,24,,67a1eeea22b6ae34fa7d2bc89f4d20f5,['4a71e978c50c39b4c88512fce8d91926'; 'df4582ee1d2966f4e9231575c408b410'; 'a5d0669b3d2405f4ea731ef3ce15b8fa'],['Tag_Helmat'; 'Tag_Equipment'; 'Tag_Repairable'],['Head'; 'Equipment'; 'Repairable'],['头部'; '装备'; '可维修'],0,0,1,0,True,True,True,True,Assets/GameObject/HelmatLV2.prefab
43,HelmatLV3,Item_HelmatLV3,HelmatLV3,SWAT Helmet,特警头盔,Provides basic ballistic protection.,具有初级的防弹性能。,1,False,1183,3,0,1.2,34,,18134dbda4c715043866b3c3db764c63,['4a71e978c50c39b4c88512fce8d91926'; 'df4582ee1d2966f4e9231575c408b410'; '94118f515b747844c982baf721457f16'; 'a5d0669b3d2405f4ea731ef3ce15b8fa'],['Tag_Helmat'; 'Tag_Equipment'; 'Tag_Western'; 'Tag_Repairable'],['Head'; 'Equipment'; 'Western'; 'Repairable'],['头部'; '装备'; 'Western'; '可维修'],0,0,1,0,True,True,True,True,Assets/GameObject/HelmatLV3_0.prefab
44,HelmatLV4,Item_HelmatLV4,HelmatLV4,SightPRO Helmet,SightPRO头盔,Features AR+VR functionality. Incoming bullets might get dizzy and miss their mark.,具有AR+VR功能，飞过来的子弹可能会眩晕从而打偏。,1,False,2551,4,0,1.44,41,,0d9c4acb3b1f54f4ab90f14f89b817d9,['4a71e978c50c39b4c88512fce8d91926'; 'df4582ee1d2966f4e9231575c408b410'; '94118f515b747844c982baf721457f16'; 'a5d0669b3d2405f4ea731ef3ce15b8fa'],['Tag_Helmat'; 'Tag_Equipment'; 'Tag_Western'; 'Tag_Repairable'],['Head'; 'Equipment'; 'Western'; 'Repairable'],['头部'; '装备'; 'Western'; '可维修'],0,0,1,0,True,True,True,True,Assets/GameObject/HelmatLV4.prefab
45,HelmatLV5,Item_HelmatLV5,HelmatLV5,SCIFI Mask,SCIFI面罩,Provides all-round head protection with a sci-fi design. That's dope.,给予头部全方位的防护，科幻造型，非常的拉风。,1,False,4855,5,0,2.4,53,,3b90bd6f2fda2a04f9f2a2e18ab771dd,['4a71e978c50c39b4c88512fce8d91926'; 'df4582ee1d2966f4e9231575c408b410'; '94118f515b747844c982baf721457f16'; 'a5d0669b3d2405f4ea731ef3ce15b8fa'],['Tag_Helmat'; 'Tag_Equipment'; 'Tag_Western'; 'Tag_Repairable'],['Head'; 'Equipment'; 'Western'; 'Repairable'],['头部'; '装备'; 'Western'; '可维修'],0,0,1,0,True,True,True,True,Assets/GameObject/HelmatLV5.prefab
46,HelmatLV6,Item_HelmatLV6,HelmatLV6,Divine Welding Mask,神之电焊头,Forged by the Greek god of helmets; it could intimidate all incoming bullets.,古希腊掌管头盔的神打造，子弹看了会吓软。,1,False,8778,6,0,3.6,61,,5997963f7c3ff13419a04dc501a03134,['4a71e978c50c39b4c88512fce8d91926'; 'df4582ee1d2966f4e9231575c408b410'; '94118f515b747844c982baf721457f16'; 'a5d0669b3d2405f4ea731ef3ce15b8fa'],['Tag_Helmat'; 'Tag_Equipment'; 'Tag_Western'; 'Tag_Repairable'],['Head'; 'Equipment'; 'Western'; 'Repairable'],['头部'; '装备'; 'Western'; '可维修'],0,0,1,0,True,True,True,True,Assets/GameObject/HelmatLV6_0.prefab
47,Wrench02,Item_Wrench02,Wrench02,Car Wrench,汽车扳手,A more effective wrench.,更好用的扳手。,1,False,1062,4,0,1.47,4,,bb7b725fc14a0d94b9b20618b0295bf0,['d0e0879b966f49c41892d16d441a06a1'; 'f6017bb1526524f419dac91362406baa'; '3eda4209113db454fa6569a24e4c2e91'],['Tag_Tool'; 'Tag_MeleeWeapon'; 'Tag_DontDropOnDeadInSlot'],['Tool'; 'Melee Weapon'; 'Bound Equipment'],['工具'; '近战武器'; '绑定装备'],0,0,1,0,True,True,True,True,Assets/GameObject/Wrench02.prefab
48,ContinerL,Item_ContinerL,ContinerL,Expansion Crate (L),大扩容箱,A large expansion crate that can be used as extra cover. Too heavy to carry.,大型扩容箱，可用作扩展藏身处。重到拿不动。,1,False,8578,5,0,40.36,5,,41d32d84f2307f14c9c9eb922dd0ae13,['f5dc8759612ce684898ed15897ef4976'],['Tag_Continer'],['Container'],['容器'],0,0,0,0,True,True,True,True,Assets/GameObject/ContinerL.prefab
49,ContinerM,Item_ContinerM,ContinerM,Expansion Crate (M),中扩容箱,A medium expansion crate that can be used as extra cover. Very heavy.,中型扩容箱，可用作扩展藏身处。很重。,1,False,4713,4,0,25.94,4,,b9a61fd0c7b103d46a51c839edb6537a,['f5dc8759612ce684898ed15897ef4976'],['Tag_Continer'],['Container'],['容器'],0,0,0,0,True,True,True,True,Assets/GameObject/ContinerM.prefab
50,ContinerS,Item_ContinerS,ContinerS,Expansion Crate (S),小扩容箱,A small expansion crate that can be used as extra cover.,小型扩容箱，可用作扩展藏身处。,1,False,2484,3,0,15.62,3,,8d9e04ee1c1b4d74cb5c595cc454111f,['f5dc8759612ce684898ed15897ef4976'],['Tag_Continer'],['Container'],['容器'],0,0,0,0,True,True,True,True,Assets/GameObject/ContinerS.prefab
51,Clock,Item_Clock,Clock,Clock,闹钟,Frozen at 3 o'clock.,定格在了三点钟。,1,False,667,2,0,0.29,2,,896ca2e13e1463b4ba1e17abe2c71090,['8fc6e1852ff836d43a293cf60f077571'],['Tag_Daily'],['Daily Supplies'],['日常用品'],0,0,0,0,True,True,True,True,Assets/GameObject/Clock.prefab
52,Detergent,Item_Detergent,Detergent,Toilet Cleaner,洁厕灵,A bottle of toilet cleaner.,一瓶洁厕灵。,1,False,102,1,0,0.53,1,,21a9f6854090a5a4084fd14215ae9bbc,['8fc6e1852ff836d43a293cf60f077571'; '8c5ea27b01d5f7647948fe4eb8358ca8'],['Tag_Daily'; 'Tag_Bait'],['Daily Supplies'; 'Bait'],['日常用品'; '鱼饵'],0,0,0,0,True,True,True,True,Assets/GameObject/Detergent.prefab
53,Drum1,Item_Drum1,Drum1,Red Barrel,红色大桶,A large; empty barrel.,一个大空桶。,1,False,1277,3,0,2.46,3,,7c15493ccc601b441a042969104579f1,['8fc6e1852ff836d43a293cf60f077571'],['Tag_Daily'],['Daily Supplies'],['日常用品'],0,0,0,0,True,True,True,True,Assets/GameObject/Drum1.prefab
54,Drum2,Item_Drum2,Drum2,Blue Barrel,蓝色大桶,A large; empty barrel.,一个大空桶。,1,False,1276,3,0,2.39,3,,51fbf3e30b794c443b3f1264f02cd46e,['8fc6e1852ff836d43a293cf60f077571'],['Tag_Daily'],['Daily Supplies'],['日常用品'],0,0,0,0,True,True,True,True,Assets/GameObject/Drum2.prefab
55,Drum3,Item_Drum3,Drum3,Yellow Barrel,黄色大桶,A large; empty barrel.,一个大空桶。,1,False,1238,3,0,2.6,3,,39b9451eb3ef0cc4a90501b2f7346b07,['8fc6e1852ff836d43a293cf60f077571'],['Tag_Daily'],['Daily Supplies'],['日常用品'],0,0,0,0,True,True,True,True,Assets/GameObject/Drum3.prefab
56,Drum4,Item_Drum4,Drum4,Metal Fuel Drum,金属油桶,A large; empty drum that previously contained gasoline.,一个大空桶，装过汽油。,1,False,3578,4,0,4.79,4,,b5ba554b456e25a4e8c209fd376a3190,['8fc6e1852ff836d43a293cf60f077571'],['Tag_Daily'],['Daily Supplies'],['日常用品'],0,0,0,0,True,True,True,True,Assets/GameObject/Drum4.prefab
