goName,kind,itemTypeID,itemKeyOrName,displayNameEN,displayNameZH,scenePath,sceneDir,worldX,worldY,worldZ,sceneIds
LootBox_Formula_BP_Bullet_SNP_Piercing4,formula,,Item_BP_Bullet_SNP_Piercing4,Blueprint:\ Advanced\ AP\ Sniper\ Bullet,蓝图：高级穿甲狙击弹,Assets/Scenes/Level_JLab/Level_JLab_1.unity,Assets/Scenes/Level_JLab,-97.11,0.0,10.21,Level_JLab_1;Level_JLab_2
LootBox_Formula_BP_VSS,formula,,Item_BP_VSS,Blueprint: VSS,蓝图：VSS,Assets/Scenes/Level_JLab/Level_JLab_1.unity,Assets/Scenes/Level_JLab,-11.930969,0.0,-106.21002,Level_JLab_1;Level_JLab_2
LootBox_Formula_BP_ThermalVisionGoggles,formula,,Item_BP_ThermalVisionGoggles,Blueprint: T-7 Thermal Goggles,蓝图：T-7热成像目镜,Assets/Scenes/Level_JLab/Level_JLab_1.unity,Assets/Scenes/Level_JLab,130.1,0.0,-119.48,Level_JLab_1;Level_JLab_2
LootBox_Formula_BP_Bullet_BR_Piercing5,formula,,Item_BP_Bullet_BR_Piercing5,Blueprint:\ Advanced\ AP\ Bullet\ \(L\),蓝图：L-高级穿甲弹,Assets/Scenes/Level_JLab/Level_JLab_1.unity,Assets/Scenes/Level_JLab,144.452,0.0,-67.977,Level_JLab_1;Level_JLab_2
LootBox_Formula_BP_M1A,formula,,Item_BP_M1A,Blueprint: M1A,蓝图：M1A,Assets/Scenes/Level_JLab/Level_JLab_2.unity,Assets/Scenes/Level_JLab,396.123194,0.0,-73.21,Level_JLab_1;Level_JLab_2
LootBox_Formula_BP_GPUSLI,formula,,Item_BP_GPUSLI,Graphics Card SLI,显示卡SLI,Assets/Scenes/Level_JLab/Level_JLab_2.unity,Assets/Scenes/Level_JLab,332.57320000000004,0.0,5.31,Level_JLab_1;Level_JLab_2
LootBox_Formula_BP_DTMDR762,formula,,Item_BP_DTMDR762,Blueprint: DT MDR-762,蓝图：DT MDR-762,Assets/Scenes/Level_JLab/Level_JLab_2.unity,Assets/Scenes/Level_JLab,483.613215,0.0,-25.61,Level_JLab_1;Level_JLab_2
LootBox_Formula_BP_Bullet_MAG_Piercing4,formula,,Item_BP_Bullet_MAG_Piercing4,Blueprint:\ Advanced\ AP\ Bullet\ \(MAG\),蓝图：MAG-高级穿甲弹,Assets/Scenes/Level_JLab/Level_JLab_2.unity,Assets/Scenes/Level_JLab,467.9732,-3.99,-86.29,Level_JLab_1;Level_JLab_2
LootBox_Formula_BP_Bullet_SMG_Piercing5,formula,,Item_BP_Bullet_SMG_Piercing5,Blueprint:\ Advanced\ AP\ Bullet\ \(S\),蓝图：S-高级穿甲弹,Assets/Scenes/Level_OpenWorldTest/Level_Farm_01.unity,Assets/Scenes/Level_OpenWorldTest,188.96,0.999,353.33,Level_Farm_01;Level_Farm_JLab_Facility
LootBox_Formula_BP_NightVisionGoggles,formula,,Item_BP_NightVisionGoggles,Blueprint: Night Vision Goggles,蓝图：夜视仪,Assets/Scenes/Level_OpenWorldTest/Level_Farm_01.unity,Assets/Scenes/Level_OpenWorldTest,670.58,0.0,96.65,Level_Farm_01;Level_Farm_JLab_Facility
LootBox_Formula_BP_Mosin,formula,,Item_BP_Mosin,Blueprint: Mosin-Nagant,蓝图：Mosin-Nagant,Assets/Scenes/Level_OpenWorldTest/Level_Farm_01.unity,Assets/Scenes/Level_OpenWorldTest,794.53,1.557,560.1,Level_Farm_01;Level_Farm_JLab_Facility
LootBox_Formula_BP_Desert,formula,,Item_BP_Desert,Blueprint: Desert Eagle,蓝图：沙漠之鹰,Assets/Scenes/Level_OpenWorldTest/Level_Farm_01.unity,Assets/Scenes/Level_OpenWorldTest,558.49,-8.016,707.9,Level_Farm_01;Level_Farm_JLab_Facility
LootBox_Formula_BP_Bullet_AR_Piercing5,formula,,Item_BP_Bullet_AR_Piercing5,Blueprint:\ Advanced\ AP\ Bullet\ \(AR\),蓝图：AR-高级穿甲弹,Assets/Scenes/Level_OpenWorldTest/Level_Farm_01.unity,Assets/Scenes/Level_OpenWorldTest,306.57,0.308,771.74,Level_Farm_01;Level_Farm_JLab_Facility
LootBox_Formula_BP_Bullet_SHT_Piercing5,formula,,Item_BP_Bullet_SHT_Piercing5,Blueprint:\ Advanced\ AP\ Shotgun\ Shell,蓝图：高级穿甲霰弹,Assets/Scenes/Level_OpenWorldTest/Level_Farm_01.unity,Assets/Scenes/Level_OpenWorldTest,543.36,0.029,223.32,Level_Farm_01;Level_Farm_JLab_Facility
LootBox_Formula_BP_Bullet_Poop_Normal,formula,,Item_BP_Bullet_Poop_Normal,Blueprint: Poop Bullet,蓝图：屎弹,Assets/Scenes/Level_OpenWorldTest/Level_Farm_01.unity,Assets/Scenes/Level_OpenWorldTest,623.006,0.855,584.322,Level_Farm_01;Level_Farm_JLab_Facility
LootBox_Formula_BP_AUGA3,formula,,Item_BP_AUGA3,Blueprint: StG 77A3,蓝图：StG 77A3,Assets/Scenes/Level_OpenWorldTest/Level_Farm_01.unity,Assets/Scenes/Level_OpenWorldTest,410.69,0.026,563.21,Level_Farm_01;Level_Farm_JLab_Facility
LootBox_Formula_BP_ToxGrenade,formula,,Item_BP_ToxGrenade,Blueprint:\ Poison\ Gas\ Grenade,蓝图：毒雾弹,Assets/Scenes/Level_OpenWorldTest/Level_Farm_01.unity,Assets/Scenes/Level_OpenWorldTest,420.724,0.026,729.203,Level_Farm_01;Level_Farm_JLab_Facility
LootBox_Formula_BP_ArmorLV5,formula,,Item_BP_ArmorLV5,Blueprint:\ Lv\.5\ Body\ Armor,蓝图：五级防弹衣,Assets/Scenes/Level_OpenWorldTest/Level_Farm_01.unity,Assets/Scenes/Level_OpenWorldTest,767.32,0.601,181.281,Level_Farm_01;Level_Farm_JLab_Facility
LootBox_Formula_BP_MP5,formula,,Item_BP_MP5,Blueprint: MP5,蓝图：MP5,Assets/Scenes/Level_OpenWorldTest/Level_Farm_01.unity,Assets/Scenes/Level_OpenWorldTest,400.086,0.04,285.117,Level_Farm_01;Level_Farm_JLab_Facility
LootBox_Formula_BP_ElecGrenade,formula,,Item_BP_ElecGrenade,Blueprint:\ Electric\ Grenade,蓝图：电击手雷,Assets/Scenes/Level_OpenWorldTest/Level_Farm_01.unity,Assets/Scenes/Level_OpenWorldTest,627.678,0.0,523.93,Level_Farm_01;Level_Farm_JLab_Facility
LootBox_Formula_BP_SHT_Candy_Ghost,formula,,Item_BP_SHT_Candy_Ghost,Blueprint:\ Candy\ Gun,蓝图：糖果枪,Assets/Scenes/Level_OpenWorldTest/Level_Farm_01.unity,Assets/Scenes/Level_OpenWorldTest,538.24,-0.00182724,314.10999999999996,Level_Farm_01;Level_Farm_JLab_Facility
